# -------------------------------------------------------
# App: truesculpt.main, date: 20111116-20120505
# -------------------------------------------------------

date,country,daily_device_installs,active_device_installs,daily_user_installs,total_user_installs,active_user_installs,daily_device_uninstalls,daily_user_uninstalls,daily_device_upgrades
20120504,LY,1,1,1,3,1,0,0,0
20120504,LV,0,4,0,18,4,0,0,0
20120504,LU,0,1,0,4,1,0,0,0
20120504,LT,0,7,0,14,7,0,0,0
20120504,LK,0,1,0,2,1,0,0,0
20120504,LB,0,6,0,16,6,0,0,0
20120504,KZ,0,3,0,7,3,0,0,0
20120504,KW,0,9,0,19,9,0,0,0
20120504,KR,0,39,0,124,38,0,0,0
20120504,KE,0,0,0,1,0,0,0,0
20120504,JP,3,67,3,120,63,2,2,0
20120504,JO,0,3,0,10,3,0,0,0
20120504,JM,0,0,0,1,0,0,0,0
20120504,JE,0,1,0,1,1,0,0,0
20120504,IT,6,165,6,400,156,4,4,0
20120504,IS,0,5,0,7,4,0,0,0
20120504,IR,0,0,0,1,0,0,0,0
20120504,IQ,0,2,0,6,2,0,0,0
20120504,IN,0,72,0,205,71,0,0,0
20120504,IM,0,0,0,1,0,0,0,0
20120504,IL,1,41,0,75,39,0,0,0
20120504,IE,0,26,0,56,26,0,0,0
20120504,ID,0,26,0,70,25,0,0,0
20120504,HU,1,28,1,78,28,0,0,0
20120504,HR,0,9,0,26,9,0,0,0
20120504,HK,0,18,0,38,18,0,0,0
20120504,GU,0,1,0,1,1,0,0,0
20120504,GT,0,1,0,2,1,0,0,0
20120504,GR,1,14,1,51,14,1,1,0
20120504,GP,0,0,0,1,0,0,0,0
20120504,GL,0,0,0,1,0,0,0,0
20120504,GH,0,0,0,1,0,0,0,0
20120504,GE,0,1,0,5,1,0,0,0
20120504,GB,5,323,5,773,314,0,0,0
20120504,FR,6,315,5,689,297,0,0,0
20120504,FO,0,1,0,1,1,0,0,0
20120504,FI,0,27,0,53,25,1,1,0
20120504,ET,0,1,0,1,1,0,0,0
20120504,ES,2,166,2,359,161,2,2,0
20120504,EG,0,12,0,30,12,0,0,0
20120504,EE,0,3,0,10,3,0,0,0
20120504,EC,0,5,0,9,5,0,0,0
20120504,DZ,0,4,0,7,3,0,0,0
20120504,DO,0,2,0,4,2,0,0,0
20120504,DM,0,0,0,1,0,0,0,0
20120504,DK,0,28,0,55,26,0,0,0
20120504,DE,4,243,3,556,238,2,2,0
20120504,CZ,0,21,0,57,20,0,0,0
20120504,CY,0,6,0,12,6,0,0,0
20120504,CR,0,4,0,12,4,0,0,0
20120504,CO,1,16,0,53,15,0,0,0
20120504,CN,0,45,0,92,43,0,0,0
20120504,CL,0,12,0,31,12,0,0,0
20120504,CH,0,50,0,96,48,2,2,0
20120504,CA,2,167,2,377,161,3,3,0
20120504,BY,0,1,0,6,1,0,0,0
20120504,BR,4,142,4,380,138,1,1,0
20120504,BO,0,3,0,5,3,0,0,0
20120504,BN,0,5,0,8,5,0,0,0
20120504,BH,0,2,0,3,2,0,0,0
20120504,BG,0,3,0,16,3,0,0,0
20120504,BE,0,29,0,80,27,0,0,0
20120504,BD,0,1,0,1,1,0,0,0
20120504,BA,0,1,0,3,1,0,0,0
20120504,AZ,0,1,0,7,1,0,0,0
20120504,AU,2,106,2,215,99,2,2,0
20120504,AT,1,32,1,96,31,1,1,0
20120504,AR,0,21,0,59,20,0,0,0
20120504,AM,0,2,0,4,2,0,0,0
20120504,AE,0,7,0,17,7,0,0,0
20120503,unknown,0,0,0,12,0,0,0,0
20120503,ZZ,0,2,0,4,2,0,0,0
20120503,ZW,0,0,0,1,0,0,0,0
20120503,ZM,0,0,0,1,0,0,0,0
20120503,ZA,0,41,0,92,40,1,1,0
20120503,VN,0,3,0,11,3,0,0,0
20120503,VE,0,11,0,19,11,0,0,0
20120503,UZ,0,2,0,3,2,0,0,0
20120503,UY,0,1,0,4,1,0,0,0
20120503,US,28,1824,26,4885,1751,20,18,0
20120503,UA,0,23,0,64,22,0,0,0
20120503,TW,0,30,0,59,29,0,0,0
20120503,TT,0,1,0,1,1,0,0,0
20120503,TR,0,43,0,102,40,0,0,0
20120503,TN,0,4,0,8,4,0,0,0
20120503,TH,0,23,0,41,23,0,0,0
20120503,SZ,0,0,0,1,0,0,0,0
20120503,SV,0,0,0,2,0,0,0,0
20120503,SR,0,0,0,3,0,0,0,0
20120503,SK,0,15,0,36,15,0,0,0
20120503,SI,0,7,0,23,7,0,0,0
20120503,SG,0,26,0,104,26,1,1,0
20120503,SE,1,72,1,161,70,0,0,0
20120503,SA,0,26,0,77,26,0,0,0
20120503,RU,1,99,1,289,98,1,1,0
20120503,RS,1,14,1,35,14,0,0,0
20120503,RO,1,25,1,92,23,1,1,0
20120503,RE,0,3,0,6,3,0,0,0
20120503,QA,1,5,1,8,5,0,0,0
20120503,PY,0,2,0,5,2,0,0,0
20120503,PT,0,31,0,56,31,0,0,0
20120503,PR,1,9,1,16,8,0,0,0
20120503,PL,1,54,1,172,52,1,1,0
20120503,PK,1,4,1,9,4,1,1,0
20120503,PH,0,22,0,68,22,0,0,0
20120503,PF,0,0,0,1,0,0,0,0
20120503,PE,0,12,0,16,12,0,0,0
20120503,PA,0,5,0,9,5,0,0,0
20120503,OM,0,4,0,6,3,0,0,0
20120503,NZ,0,27,0,52,26,0,0,0
20120503,NP,0,1,0,3,1,0,0,0
20120503,NO,0,36,0,73,35,1,1,0
