# -------------------------------------------------------
# App: truesculpt.main, date: 20111116-20120505
# -------------------------------------------------------

date,language,daily_device_installs,active_device_installs,daily_user_installs,total_user_installs,active_user_installs,daily_device_uninstalls,daily_user_uninstalls,daily_device_upgrades
20120504,pt_BR,4,132,4,360,128,1,1,0
20120504,pl_PL,0,53,0,165,51,0,0,0
20120504,pl_IE,0,1,0,1,1,0,0,0
20120504,pl_GB,0,1,0,1,1,0,0,0
20120504,no_NO,0,4,0,7,4,0,0,0
20120504,nl_NL,1,58,1,150,57,0,0,0
20120504,nl_FR,0,0,0,2,0,0,0,0
20120504,nl_BE,0,5,0,12,5,0,0,0
20120504,nl,0,0,0,1,0,0,0,0
20120504,nb_NO,0,26,0,52,25,0,0,0
20120504,nb_NB,0,1,0,1,1,0,0,0
20120504,ms_MY,0,0,0,1,0,0,0,0
20120504,mk_MK,0,0,0,1,0,0,0,0
20120504,md_US,0,4,0,19,4,0,0,0
20120504,lv_LV,0,2,0,8,2,0,0,0
20120504,lt_LT,0,2,0,7,2,0,0,0
20120504,ko_KR,0,40,0,116,39,0,0,0
20120504,ko,0,0,0,1,0,0,0,0
20120504,ja_JP,3,55,3,104,51,2,2,0
20120504,ja,0,1,0,1,1,0,0,0
20120504,iw_IL,0,6,0,12,6,0,0,0
20120504,it_IT,5,157,5,395,150,4,4,0
20120504,it_FR,0,0,0,1,0,0,0,0
20120504,it_DE,0,0,0,1,0,0,0,0
20120504,it_CH,0,1,0,1,1,0,0,0
20120504,is_IS,0,1,0,1,1,0,0,0
20120504,in_ID,0,6,0,14,6,0,0,0
20120504,id_ID,0,1,0,2,1,0,0,0
20120504,hu_HU,1,24,1,73,24,0,0,0
20120504,hr_HR,0,3,0,12,3,0,0,0
20120504,he_IL,0,11,0,24,11,0,0,0
20120504,hd_US,0,1,0,5,1,0,0,0
20120504,gl_ES,0,0,0,1,0,0,0,0
20120504,fr_NL,0,0,0,1,0,0,0,0
20120504,fr_LU,0,0,0,2,0,0,0,0
20120504,fr_IT,0,1,0,1,1,0,0,0
20120504,fr_FR,6,343,5,767,325,0,0,0
20120504,fr_CH,0,17,0,29,17,1,1,0
20120504,fr_CA,0,8,0,19,8,0,0,0
20120504,fr_BE,0,3,0,10,2,0,0,0
20120504,fi_FI,0,15,0,35,15,0,0,0
20120504,et_EE,0,3,0,5,3,0,0,0
20120504,es_VE,0,0,0,2,0,0,0,0
20120504,es_US,1,75,1,165,74,1,1,0
20120504,es_PE,0,0,0,1,0,0,0,0
20120504,es_MX,0,9,0,34,9,0,0,0
20120504,es_GT,0,0,0,1,0,0,0,0
20120504,es_ES,3,202,2,427,195,2,2,0
20120504,es_DE,0,1,0,1,1,0,0,0
20120504,es_CR,0,0,0,4,0,0,0,0
20120504,es_CO,0,0,0,5,0,0,0,0
20120504,es_CL,0,1,0,9,1,0,0,0
20120504,es_BO,0,0,0,1,0,0,0,0
20120504,es_AR,0,3,0,10,3,0,0,0
20120504,es,0,0,0,1,0,0,0,0
20120504,en_ZA,0,9,0,23,9,0,0,0
20120504,en_US,36,2230,30,5743,2140,16,16,0
20120504,en_UA,0,0,0,1,0,0,0,0
20120504,en_TW,0,0,0,2,0,0,0,0
20120504,en_TR,0,2,0,2,2,0,0,0
20120504,en_TH,0,0,0,2,0,0,0,0
20120504,en_SK,0,1,0,2,1,0,0,0
20120504,en_SG,0,8,0,36,8,1,1,0
20120504,en_SE,0,3,0,4,3,0,0,0
20120504,en_RU,0,0,0,1,0,0,0,0
20120504,en_RO,0,0,0,5,0,0,0,0
20120504,en_QA,0,0,0,1,0,0,0,0
20120504,en_PL,0,2,0,2,2,0,0,0
20120504,en_PH,0,11,0,30,11,1,1,0
20120504,en_NZ,0,12,0,29,12,1,1,0
20120504,en_NO,0,1,0,2,1,0,0,0
20120504,en_NL,0,3,0,7,3,0,0,0
20120504,en_MY,0,2,0,6,2,0,0,0
20120504,en_LU,0,1,0,2,1,0,0,0
20120504,en_LT,0,1,0,3,1,0,0,0
20120504,en_LB,0,1,0,1,1,0,0,0
20120504,en_KW,0,0,0,1,0,0,0,0
20120504,en_JP,0,2,0,3,2,0,0,0
20120504,en_IT,0,0,0,2,0,0,0,0
20120504,en_IN,0,17,0,58,17,0,0,0
20120504,en_IE,0,11,0,34,11,0,0,0
20120504,en_ID,0,0,0,1,0,0,0,0
20120504,en_HU,0,0,0,1,0,0,0,0
20120504,en_HK,0,4,0,6,4,0,0,0
20120504,en_GR,0,0,0,3,0,0,0,0
20120504,en_GB,8,560,8,1343,541,2,2,0
20120504,en_FR,0,0,0,1,0,0,0,0
20120504,en_ES,0,0,0,3,0,0,0,0
20120504,en_EG,0,0,0,1,0,0,0,0
20120504,en_DK,0,3,0,3,3,0,0,0
20120504,en_DE,0,0,0,5,0,0,0,0
20120504,en_CZ,0,2,0,3,2,0,0,0
20120504,en_CS,0,0,0,2,0,0,0,0
20120504,en_CH,0,2,0,2,2,0,0,0
20120504,en_CA,1,96,1,234,92,3,3,0
20120504,en_AU,2,74,2,163,69,1,1,0
20120504,en_AM,0,0,0,1,0,0,0,0
20120504,en_AE,0,1,0,2,1,0,0,0
20120504,en,0,4,0,10,4,0,0,0
20120504,el_GR,1,12,1,41,12,1,1,0
20120504,de_GB,0,0,0,1,0,0,0,0
20120504,de_DE,4,250,3,569,246,3,3,0
20120504,de_CH,0,14,0,32,12,1,1,0
20120504,de_AT,1,20,1,49,19,0,0,0
20120504,de,0,0,0,2,0,0,0,0
20120504,da_DK,0,22,0,50,20,0,0,0
20120504,cs_CZ,0,18,0,54,17,0,0,0
20120504,ca_ES,0,1,0,3,1,0,0,0
20120504,bg_BG,0,1,0,5,1,0,0,0
20120504,ar_SA,0,0,0,1,0,0,0,0
20120504,ar_QA,0,1,0,1,1,0,0,0
20120504,ar_EG,0,0,0,4,0,0,0,0
20120504,ar_AE,2,22,2,58,20,0,0,0
20120504,,0,1,0,3,1,0,0,0
20120503,zh_TW,0,40,0,70,40,0,0,0
20120503,zh_HK,0,7,0,16,7,0,0,0
20120503,zh_CN,0,14,0,43,14,0,0,0
20120503,vi_VN,0,1,0,5,1,0,0,0
20120503,unknown,0,0,0,12,0,0,0,0
20120503,uk_UA,0,2,0,6,2,0,0,0
20120503,tr_TR,0,30,0,80,27,0,0,0
20120503,th_TH,0,15,0,27,15,0,0,0
20120503,sv_SE,1,51,1,120,49,0,0,0
20120503,sv_GB,0,1,0,1,1,0,0,0
20120503,sv,0,0,0,1,0,0,0,0
20120503,sr_RS,0,2,0,9,2,0,0,0
20120503,sr_CS,0,0,0,2,0,0,0,0
20120503,sl_SL,0,0,0,1,0,0,0,0
20120503,sl_SI,0,4,0,15,4,0,0,0
20120503,sl,0,0,0,1,0,0,0,0
20120503,sk_SK,0,11,0,27,11,0,0,0
20120503,sk,0,0,0,1,0,0,0,0
20120503,ru_UA,0,4,0,10,4,0,0,0
20120503,ru_SK,0,1,0,1,1,0,0,0
20120503,ru_RU,1,125,1,360,124,1,1,0
20120503,ru_PL,0,1,0,1,1,0,0,0
20120503,ru_CZ,0,1,0,1,1,0,0,0
20120503,ru,0,1,0,3,1,0,0,0
20120503,ro_RO,1,11,1,37,11,1,1,0
20120503,pt_PT,0,30,0,59,30,0,0,0
20120503,pt_BR,2,130,2,356,127,3,3,0
20120503,pl_PL,1,53,1,167,51,1,1,0
20120503,pl_IE,0,1,0,1,1,0,0,0
20120503,pl_GB,0,1,0,1,1,0,0,0
20120503,no_NO,0,4,0,7,4,0,0,0
20120503,nl_NL,2,57,1,149,56,0,0,0
20120503,nl_FR,0,0,0,2,0,0,0,0
20120503,nl_BE,0,5,0,12,5,0,0,0
20120503,nl,0,0,0,1,0,0,0,0
20120503,nb_NO,0,26,0,52,25,1,1,0
20120503,nb_NB,0,1,0,1,1,0,0,0
20120503,ms_MY,0,0,0,1,0,0,0,0
20120503,mk_MK,0,0,0,1,0,0,0,0
20120503,md_US,1,5,1,20,5,0,0,0
20120503,lv_LV,0,2,0,8,2,0,0,0
20120503,lt_LT,0,2,0,7,2,0,0,0
20120503,ko_KR,0,40,0,116,39,0,0,0
20120503,ko,0,0,0,1,0,0,0,0
20120503,ja_JP,0,54,0,101,50,1,1,0
20120503,ja,0,1,0,1,1,0,0,0
20120503,iw_IL,0,6,0,12,6,0,0,0
20120503,it_IT,3,155,3,390,148,0,0,0
20120503,it_FR,0,0,0,1,0,0,0,0
20120503,it_DE,0,0,0,1,0,0,0,0
20120503,it_CH,0,1,0,1,1,0,0,0
20120503,is_IS,0,1,0,1,1,0,0,0
20120503,in_ID,0,6,0,14,6,0,0,0
20120503,id_ID,0,1,0,2,1,0,0,0
20120503,hu_HU,0,23,0,72,23,0,0,0
20120503,hr_HR,0,3,0,12,3,0,0,0
20120503,he_IL,0,11,0,24,11,0,0,0
20120503,hd_US,0,1,0,5,1,0,0,0
20120503,gl_ES,0,0,0,1,0,0,0,0
20120503,fr_NL,0,0,0,1,0,0,0,0
20120503,fr_LU,0,0,0,2,0,0,0,0
