# -------------------------------------------------------
# App: truesculpt.main, date: 20111116-20120505
# -------------------------------------------------------

date,device,daily_device_installs,active_device_installs,daily_user_installs,total_user_installs,active_user_installs,daily_device_uninstalls,daily_user_uninstalls,daily_device_upgrades
20120505,Acer Liquid,0,1,0,2,1,0,0,0
20120505,HTC Aria,0,3,0,11,3,0,0,0
20120505,LG Optimus Black,0,11,0,40,11,0,0,0
20120505,lgp930,0,1,0,2,1,0,0,0
20120505,lgl55c,0,3,0,11,3,0,0,0
20120505,lgl45c,0,1,0,5,1,0,0,0
20120505,lge_325_skt,0,0,0,1,0,0,0,0
20120505,LG myTouch Q,0,3,0,14,3,0,0,0
20120505,lgc729,0,4,0,10,4,0,0,0
20120505,lexikon,0,4,0,11,4,0,0,0
20120505,lephone_001w,0,1,0,1,1,0,0,0
20120505,leo,0,3,0,19,3,0,0,0
20120505,HTC Legend,0,7,0,25,7,0,0,0
20120505,LG Optimus Black,0,0,0,1,0,0,0,0
20120505,LG Optimus One,0,0,0,1,0,0,0,0
20120505,kingdom,0,7,0,25,7,0,0,0
20120505,Motorola Defy,0,0,0,1,0,0,0,0
20120505,jmasai,0,2,0,2,2,0,0,0
20120505,infuse4g,0,1,0,2,1,0,0,0
20120505,HTC Droid Incredible,1,24,1,71,20,1,1,0
20120505,icx1216,0,1,0,2,1,0,0,0
20120505,icong,0,1,0,1,1,0,0,0
20120505,LG Optimus LTE,0,1,0,5,1,0,0,0
20120505,i_skt,0,0,0,1,0,0,0,0
20120505,hwu8860,0,0,0,1,0,0,0,0
20120505,hwu8850,0,1,0,2,1,0,0,0
20120505,hwu8800Pro,0,0,0,1,0,0,0,0
20120505,hwu8800-51,0,1,0,5,1,0,0,0
20120505,hwu8800,0,1,0,4,1,0,0,0
20120505,hwu8652,0,1,0,3,1,0,0,0
20120505,Huawei U8650,0,4,0,16,4,0,0,0
20120505,Huawei U8510,0,6,0,12,6,0,0,0
20120505,hws7300u,1,6,1,10,6,0,0,0
20120505,hwm886,0,2,0,5,2,0,0,0
20120505,Huawei M865,0,3,0,27,3,0,0,0
20120505,hub,0,0,0,1,0,0,0,0
20120505,huaqin73_gb,0,0,0,1,0,0,0,0
20120505,holiday,0,11,0,18,11,0,0,0
20120505,harmony,0,2,0,22,1,0,0,0
20120505,hallon,0,0,0,1,0,0,0,0
20120505,griffin,0,0,0,18,0,0,0,0
20120505,HTC myTouch 4G,0,31,0,77,30,1,1,0
20120505,gio,0,1,0,4,1,0,0,0
20120505,gelatods_open-br,0,0,0,2,0,0,0,0
20120505,gelatods_cis-xxx,0,1,0,1,1,0,0,0
20120505,gelato_sea-xx,0,2,0,6,2,0,0,0
20120505,gelato_bal-xx,0,1,0,1,1,0,0,0
20120505,gelato_505-01,1,1,1,2,1,0,0,0
20120505,gelato_302-610,0,0,0,1,0,0,0,0
20120505,galaxytab,0,1,0,3,1,0,0,0
20120505,galaxysmtd,0,3,0,17,3,0,0,0
20120505,galaxys2,0,9,0,27,9,0,0,0
20120505,HTC Flyer,0,17,0,39,15,0,0,0
20120505,fleming,0,2,0,6,2,0,0,0
20120505,fb0,0,1,0,2,1,0,0,0
20120505,f11sky,0,0,0,1,0,0,0,0
20120505,f04ref,0,0,0,7,0,0,0,0
20120505,f02ref,0,0,0,3,0,0,0,0
20120505,expresskt,0,0,0,1,0,0,0,0
20120505,express,0,3,0,5,2,1,1,0
20120505,espressowifi,1,1,0,1,1,0,0,0
20120505,HTC myTouch 3G Slide,0,0,0,11,0,0,0,0
20120505,es209ra,0,0,0,2,0,0,0,0
