# -------------------------------------------------------
# App: truesculpt.main, date: 20111116-20120505
# -------------------------------------------------------

date,os_version,daily_device_installs,active_device_installs,daily_user_installs,total_user_installs,active_user_installs,daily_device_uninstalls,daily_user_uninstalls,daily_device_upgrades
20120423,Android 4.0 - 4.0.2,1,71,0,123,70,0,0,0
20120423,Android 3.2,7,682,6,1220,649,3,2,0
20120423,Android 3.1,5,233,5,407,224,3,3,0
20120423,Android 3.0,0,23,0,39,23,1,1,0
20120423,Android 2.3.3+,45,2550,41,6757,2468,30,27,0
20120423,0,0,1,0,16,1,0,0,0
20120422,Android 2.3,1,46,1,147,44,1,1,0
20120422,Android 2.2,5,473,5,1684,463,4,4,0
20120422,Android 2.1,0,21,0,299,20,0,0,0
20120422,Android 1.6,0,0,0,1,0,0,0,0
20120422,Android 4.0.3 - 4.0.4,14,635,10,1110,603,2,2,0
20120422,Android 4.0 - 4.0.2,0,70,0,122,69,0,0,0
20120422,Android 3.2,11,682,11,1223,651,12,11,0
20120422,Android 3.1,2,229,2,402,220,0,0,0
20120422,Android 3.0,1,24,1,40,24,0,0,0
20120422,Android 2.3.3+,42,2544,39,6720,2464,28,28,0
20120422,0,0,1,0,15,1,0,0,0
20120421,Android 2.3,0,46,0,146,44,1,1,0
20120421,Android 2.2,7,470,6,1681,460,10,10,0
20120421,Android 2.1,0,21,0,299,20,0,0,0
20120421,Android 1.6,0,0,0,1,0,0,0,0
20120421,Android 4.0.3 - 4.0.4,13,626,9,1093,598,4,3,0
20120421,Android 4.0 - 4.0.2,0,70,0,122,69,0,0,0
20120421,Android 3.2,10,683,9,1212,651,4,4,0
20120421,Android 3.1,5,227,5,400,218,5,5,0
20120421,Android 3.0,2,22,2,39,22,2,2,0
20120421,Android 2.3.3+,54,2538,52,6683,2457,46,46,0
20120421,0,0,1,0,15,1,0,0,0
20120420,Android 2.3,0,47,0,146,45,2,2,0
20120420,Android 2.2,8,474,7,1677,464,7,7,0
20120420,Android 2.1,2,21,2,299,20,2,2,0
20120420,Android 1.6,0,0,0,1,0,0,0,0
20120420,Android 4.0.3 - 4.0.4,16,608,11,1070,583,6,6,0
20120420,Android 4.0 - 4.0.2,0,70,0,122,69,1,0,0
20120420,Android 3.2,6,679,6,1203,645,6,6,0
20120420,Android 3.1,1,226,1,395,217,0,0,0
20120420,Android 3.0,0,21,0,37,21,0,0,0
20120420,Android 2.3.3+,43,2539,40,6638,2459,34,34,0
20120420,0,0,1,0,16,1,0,0,0
20120419,Android 2.3,1,48,1,146,46,0,0,0
20120419,Android 2.2,6,474,5,1668,464,6,4,0
20120419,Android 2.1,2,22,2,297,21,1,1,0
20120419,Android 1.6,0,0,0,1,0,0,0,0
20120419,Android 4.0.3 - 4.0.4,13,601,7,1044,575,3,3,0
20120419,Android 4.0 - 4.0.2,1,71,1,123,70,0,0,0
20120419,Android 3.2,5,676,5,1196,641,6,6,0
20120419,Android 3.1,2,226,2,395,217,1,1,0
20120419,Android 3.0,0,21,0,37,21,0,0,0
20120419,Android 2.3.3+,40,2536,35,6609,2457,25,25,0
20120419,0,0,1,0,16,1,0,0,0
20120418,Android 2.3,1,48,1,145,46,1,1,0
20120418,Android 2.2,5,475,5,1668,466,9,9,0
20120418,Android 2.1,0,21,0,295,20,0,0,0
20120418,Android 1.6,0,0,0,1,0,0,0,0
20120418,Android 4.0.3 - 4.0.4,13,589,8,1023,564,5,5,0
20120418,Android 4.0 - 4.0.2,0,71,0,123,70,1,1,0
20120418,Android 3.2,10,674,10,1191,640,4,4,0
20120418,Android 3.1,3,227,3,395,218,0,0,0
20120418,Android 3.0,1,22,1,38,22,0,0,0
20120418,Android 2.3.3+,51,2531,49,6573,2453,34,34,0
20120418,0,0,1,0,16,1,0,0,0
20120417,Android 2.3,1,48,1,144,46,1,1,0
20120417,Android 2.2,7,481,6,1666,472,2,2,0
20120417,Android 2.1,1,21,1,295,20,1,1,0
20120417,Android 1.6,0,0,0,1,0,0,0,0
20120417,Android 4.0.3 - 4.0.4,11,579,7,999,555,7,7,0
20120417,Android 4.0 - 4.0.2,0,71,0,123,70,0,0,0
20120417,Android 3.2,12,671,11,1184,638,5,5,0
20120417,Android 3.1,2,222,2,391,213,1,1,0
20120417,Android 3.0,0,21,0,37,21,0,0,0
20120417,Android 2.3.3+,53,2525,49,6531,2447,29,29,0
20120417,0,0,1,0,16,1,0,0,0
20120416,Android 2.3,1,49,1,143,47,0,0,0
20120416,Android 2.2,8,480,8,1664,471,11,11,0
20120416,Android 2.1,3,21,3,294,20,3,3,0
20120416,Android 1.6,0,0,0,1,0,0,0,0
20120416,Android 4.0.3 - 4.0.4,7,574,5,984,550,3,3,0
20120416,Android 4.0 - 4.0.2,0,71,0,123,70,0,0,0
20120416,Android 3.2,5,663,5,1173,631,3,3,0
20120416,Android 3.1,1,220,1,390,212,3,3,0
20120416,Android 3.0,0,21,0,37,21,0,0,0
20120416,Android 2.3.3+,33,2512,32,6483,2434,23,23,0
20120416,0,0,1,0,15,1,0,0,0
20120415,Android 2.3,1,48,1,142,46,0,0,0
20120415,Android 2.2,11,483,9,1656,474,11,11,0
20120415,Android 2.1,2,21,2,291,20,1,1,0
20120415,Android 1.6,0,0,0,1,0,0,0,0
20120415,Android 4.0.3 - 4.0.4,8,570,4,969,545,7,6,0
20120415,Android 4.0 - 4.0.2,1,71,1,123,70,0,0,0
20120415,Android 3.2,11,658,9,1165,626,7,5,0
20120415,Android 3.1,2,223,2,390,215,1,1,0
20120415,Android 3.0,0,23,0,38,23,0,0,0
20120415,Android 2.3.3+,40,2497,36,6453,2419,35,34,0
20120415,0,0,1,0,16,1,0,0,0
20120414,Android 2.3,1,48,1,141,46,1,1,0
20120414,Android 2.2,11,483,11,1647,473,10,10,0
